epoch,train_loss,train_accuracy,train_susp_recall,val_loss,val_accuracy,val_susp_recall,val_fpr,val_fnr,val_auc
1,0.6774091510610147,0.6664285714285715,0.9829545454545454,0.42174879014492034,0.9833333333333333,0.9710144927536232,0.006172839506172839,0.028985507246376812,0.9996868849525854
2,0.14738753531128168,0.9964285714285714,0.9971590909090909,0.029658045060932635,0.9933333333333333,0.9855072463768116,0.0,0.014492753623188406,1.0
3,0.010635923223823986,1.0,1.0,0.004402062203735113,1.0,1.0,0.0,0.0,1.0
4,0.0037834383706054227,1.0,1.0,0.0026298457058146598,1.0,1.0,0.0,0.0,1.0
5,0.0025154378143435515,1.0,1.0,0.0016850295185577124,1.0,1.0,0.0,0.0,1.0
6,0.0017357588750945235,1.0,1.0,0.0015811599732842296,1.0,1.0,0.0,0.0,1.0
7,0.0019637911874187093,1.0,1.0,0.001712884585140273,1.0,1.0,0.0,0.0,1.0
8,0.0014250293368769978,1.0,1.0,0.0016398277308326214,1.0,1.0,0.0,0.0,1.0
9,0.0014883359280330214,1.0,1.0,0.001102935371454805,1.0,1.0,0.0,0.0,1.0
10,0.0014639669455143369,1.0,1.0,0.0011600081983488054,1.0,1.0,0.0,0.0,1.0
11,0.0011439853194381365,1.0,1.0,0.0013575385382864624,1.0,1.0,0.0,0.0,1.0
12,0.0013235743866640735,1.0,1.0,0.0009976234956411644,1.0,1.0,0.0,0.0,1.0
13,0.001193466450786218,1.0,1.0,0.0011261349020060152,1.0,1.0,0.0,0.0,1.0
14,0.0011013186991807413,1.0,1.0,0.0036011459451401606,1.0,1.0,0.0,0.0,1.0
15,0.0011236699872163379,1.0,1.0,0.0008439462020760402,1.0,1.0,0.0,0.0,1.0
16,0.0054452108769592915,0.9985714285714286,0.9985795454545454,0.0334952104545664,0.99,1.0,0.018518518518518517,0.0,1.0
